Translating types for jansi (use_llm=true, use_rag=true)
[type 0001/1452] ✅ void -> Unit | fixed_map
[type 0002/1452] ❌ String[] -> Array<Any> | fallback:budget_exhausted
[type 0003/1452] ✅ void -> Unit | fixed_map
[type 0004/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0005/1452] ✅ String -> String | fixed_map
[type 0006/1452] ✅ int -> Int64 | fixed_map
[type 0007/1452] ✅ String -> String | fixed_map
[type 0008/1452] ✅ String -> String | fixed_map
[type 0009/1452] ✅ String -> String | fixed_map
[type 0010/1452] ✅ char -> Rune | fixed_map
[type 0011/1452] ✅ char -> Rune | fixed_map
[type 0012/1452] ✅ String -> String | fixed_map
[type 0013/1452] ❌ Callable<Boolean> -> Any | fallback:budget_exhausted
[type 0014/1452] ✅ InheritableThreadLocal<Boolean> -> ThreadLocal<Bool> | llm
[type 0015/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0016/1452] ✅ ArrayList<Integer> -> ArrayList<Int64> | llm
[type 0017/1452] ✅ void -> Unit | fixed_map
[type 0018/1452] ✅ Callable<Boolean> -> Any | llm
[type 0019/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0020/1452] ✅ boolean -> Bool | fixed_map
[type 0021/1452] ✅ Exception -> Exception | llm
[type 0022/1452] ✅ void -> Unit | fixed_map
[type 0023/1452] ✅ boolean -> Bool | fixed_map
[type 0024/1452] ✅ boolean -> Bool | fixed_map
[type 0025/1452] ✅ Ansi -> Ansi | custom_type
[type 0026/1452] ✅ Ansi -> Ansi | custom_type
[type 0027/1452] ✅ Ansi_NoAnsi -> Ansi_NoAnsi | custom_type
[type 0028/1452] ✅ Ansi -> Ansi | custom_type
[type 0029/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0030/1452] ✅ Ansi -> Ansi | custom_type
[type 0031/1452] ✅ Ansi_NoAnsi -> Ansi_NoAnsi | custom_type
[type 0032/1452] ✅ Ansi -> Ansi | custom_type
[type 0033/1452] ✅ int -> Int64 | fixed_map
[type 0034/1452] ✅ Ansi -> Ansi | custom_type
[type 0035/1452] ✅ Ansi_NoAnsi -> Ansi_NoAnsi | custom_type
[type 0036/1452] ✅ StringBuilder -> Any | llm
[type 0037/1452] ✅ Ansi -> Ansi | custom_type
[type 0038/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0039/1452] ✅ int -> Int64 | fixed_map
[type 0040/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0041/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0042/1452] ✅ Ansi -> Ansi | custom_type
[type 0043/1452] ✅ Color -> Color | custom_type
[type 0044/1452] ✅ Ansi -> Ansi | custom_type
[type 0045/1452] ✅ int -> Int64 | fixed_map
[type 0046/1452] ✅ Ansi -> Ansi | custom_type
[type 0047/1452] ✅ int -> Int64 | fixed_map
[type 0048/1452] ✅ Ansi -> Ansi | custom_type
[type 0049/1452] ✅ int -> Int64 | fixed_map
[type 0050/1452] ✅ int -> Int64 | fixed_map
[type 0051/1452] ✅ int -> Int64 | fixed_map
[type 0052/1452] ✅ Ansi -> Ansi | custom_type
[type 0053/1452] ✅ Ansi -> Ansi | custom_type
[type 0054/1452] ✅ Ansi -> Ansi | custom_type
[type 0055/1452] ✅ Ansi -> Ansi | custom_type
[type 0056/1452] ✅ Ansi -> Ansi | custom_type
[type 0057/1452] ✅ Ansi -> Ansi | custom_type
[type 0058/1452] ✅ Ansi -> Ansi | custom_type
[type 0059/1452] ✅ Ansi -> Ansi | custom_type
[type 0060/1452] ✅ Ansi -> Ansi | custom_type
[type 0061/1452] ✅ Color -> Color | custom_type
[type 0062/1452] ✅ Ansi -> Ansi | custom_type
[type 0063/1452] ✅ int -> Int64 | fixed_map
[type 0064/1452] ✅ Ansi -> Ansi | custom_type
[type 0065/1452] ✅ int -> Int64 | fixed_map
[type 0066/1452] ✅ Ansi -> Ansi | custom_type
[type 0067/1452] ✅ int -> Int64 | fixed_map
[type 0068/1452] ✅ int -> Int64 | fixed_map
