schema,class,fragment,type,status,compilation,first_error
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,29-29:FIRST_ESC_CHAR,field,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,30-30:SECOND_ESC_CHAR,field,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,157-157:DISABLE,field,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,159-159:detector,field,attempted,error,"Compilation failed: error: expected expression after '=', found '>'"
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,174-179:holder,field,attempted,error,"Compilation failed: error: expected expression after '=', found '>'"
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,373-373:builder,field,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,374-374:attributeOptions,field,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,161-164:setDetector,method,attempted,error,Compilation failed: --- cjc stderr ---
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,166-172:isDetected,method,completed,success,Compilation successful
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,181-183:setEnabled,method,attempted,pending,waiting for compilation
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,185-187:isEnabled,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,189-195:ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,197-203:ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,205-211:ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,376-378:Ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,380-383:Ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,385-387:Ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,389-391:Ansi,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,393-396:fg,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,398-403:fg,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,405-407:fgRgb,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,409-416:fgRgb,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,418-420:fgBlack,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,422-424:fgBlue,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,426-428:fgCyan,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,430-432:fgDefault,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,434-436:fgGreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,438-440:fgMagenta,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,442-444:fgRed,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,446-448:fgYellow,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,450-453:bg,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,455-460:bg,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,462-464:bgRgb,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,466-473:bgRgb,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,475-477:bgCyan,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,479-481:bgDefault,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,483-485:bgGreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,487-489:bgMagenta,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,491-493:bgRed,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,495-497:bgYellow,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,499-502:fgBright,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,504-506:fgBrightBlack,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,508-510:fgBrightBlue,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,512-514:fgBrightCyan,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,516-518:fgBrightDefault,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,520-522:fgBrightGreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,524-526:fgBrightMagenta,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,528-530:fgBrightRed,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,532-534:fgBrightYellow,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,536-539:bgBright,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,541-543:bgBrightCyan,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,545-547:bgBrightDefault,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,549-551:bgBrightGreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,553-555:bgBrightMagenta,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,557-559:bgBrightRed,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,561-563:bgBrightYellow,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,565-568:a,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,578-580:cursor,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,589-591:cursorToColumn,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,599-601:cursorUp,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,609-611:cursorDown,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,619-621:cursorRight,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,629-631:cursorLeft,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,642-644:cursorMove,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,651-653:cursorDownLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,662-664:cursorDownLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,671-673:cursorUpLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,682-684:cursorUpLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,686-688:eraseScreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,690-692:eraseScreen,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,694-696:eraseLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,698-700:eraseLine,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,702-707:scrollUp,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,709-714:scrollDown,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,716-719:restorCursorPosition,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,721-724:saveCursorPosition,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,727-729:saveCursorPositionSCO,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,732-736:saveCursorPositionDEC,method,pending,pending,
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,738-741:restoreCursorPosition,method,pending,pending,
