schema,class,fragment,type,status,compilation,first_error,timestamp
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,29-29:FIRST_ESC_CHAR,field,attempted,success,,2026-06-18T20:39:34.638871
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,30-30:SECOND_ESC_CHAR,field,attempted,success,,2026-06-18T20:39:34.686751
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,157-157:DISABLE,field,attempted,success,,2026-06-18T20:39:34.743187
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,159-159:detector,field,attempted,success,,2026-06-18T20:39:34.806646
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,174-179:holder,field,attempted,success,,2026-06-18T20:39:34.865962
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,373-373:builder,field,attempted,success,,2026-06-18T20:39:34.948158
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,374-374:attributeOptions,field,attempted,success,,2026-06-18T20:39:35.019910
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,161-164:setDetector,method,attempted,error,Compilation failed: --- cjc stderr ---,2026-06-18T20:39:46.924112
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,166-172:isDetected,method,completed,success,Compilation successful,2026-06-18T20:39:55.197730
jansi.src.main.org.fusesource.jansi.Ansi,27-973:Ansi,181-183:setEnabled,method,completed,success,Compilation successful,2026-06-18T20:40:04.704686
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,24-24:Colors16,field,attempted,success,,2026-06-18T19:39:42.038837
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,25-25:Colors256,field,attempted,success,,2026-06-18T19:39:42.061798
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,26-26:TrueColor,field,attempted,success,,2026-06-18T19:39:42.086812
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,28-28:description,field,attempted,success,,2026-06-18T19:39:42.114592
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,30-32:AnsiColors,method,completed,success,Compilation successful,2026-06-18T19:39:51.018215
jansi.src.main.org.fusesource.jansi.AnsiColors,23-37:AnsiColors,34-36:getDescription,method,completed,success,Compilation successful,2026-06-18T19:39:59.432491
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,69-69:JANSI_MODE,field,attempted,success,,2026-06-18T19:46:39.185931
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,73-73:JANSI_OUT_MODE,field,attempted,success,,2026-06-18T19:46:39.225766
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,77-77:JANSI_ERR_MODE,field,attempted,success,,2026-06-18T19:46:39.264784
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,82-82:JANSI_MODE_STRIP,field,attempted,success,,2026-06-18T19:46:39.303138
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,86-86:JANSI_MODE_FORCE,field,attempted,success,,2026-06-18T19:46:39.340775
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,90-90:JANSI_MODE_DEFAULT,field,attempted,success,,2026-06-18T19:46:39.379955
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,98-98:JANSI_COLORS,field,attempted,success,,2026-06-18T19:46:39.417275
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,102-102:JANSI_OUT_COLORS,field,attempted,success,,2026-06-18T19:46:39.455778
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,106-106:JANSI_ERR_COLORS,field,attempted,success,,2026-06-18T19:46:39.495852
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,112-112:JANSI_COLORS_16,field,attempted,success,,2026-06-18T19:46:39.534228
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,117-117:JANSI_COLORS_256,field,attempted,success,,2026-06-18T19:46:39.573062
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,121-121:JANSI_COLORS_TRUECOLOR,field,attempted,success,,2026-06-18T19:46:39.610671
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,129-130:JANSI_PASSTHROUGH,field,attempted,success,,2026-06-18T19:46:39.649205
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,137-138:JANSI_STRIP,field,attempted,success,,2026-06-18T19:46:39.687921
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,147-148:JANSI_FORCE,field,attempted,success,,2026-06-18T19:46:39.726718
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,157-158:JANSI_EAGER,field,attempted,success,,2026-06-18T19:46:39.766228
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,163-163:JANSI_NORESET,field,attempted,success,,2026-06-18T19:46:39.804827
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,169-169:JANSI_GRACEFUL,field,attempted,success,,2026-06-18T19:46:39.846618
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,174-175:system_out,field,attempted,success,,2026-06-18T19:46:39.887246
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,179-180:out,field,attempted,success,,2026-06-18T19:46:39.932884
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,184-185:system_err,field,attempted,success,,2026-06-18T19:46:39.970164
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,189-190:err,field,attempted,success,,2026-06-18T19:46:40.007434
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,206-207:IS_WINDOWS,field,attempted,success,,2026-06-18T19:46:40.039521
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,209-210:IS_CYGWIN,field,attempted,success,,2026-06-18T19:46:40.071570
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,212-215:IS_MSYSTEM,field,attempted,success,,2026-06-18T19:46:40.104395
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,217-217:IS_CONEMU,field,attempted,success,,2026-06-18T19:46:40.136647
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,219-219:ENABLE_VIRTUAL_TERMINAL_PROCESSING,field,attempted,success,,2026-06-18T19:46:40.169469
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,221-221:STDOUT_FILENO,field,attempted,success,,2026-06-18T19:46:40.202283
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,223-223:STDERR_FILENO,field,attempted,success,,2026-06-18T19:46:40.235750
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,231-231:initialized,field,attempted,success,,2026-06-18T19:46:40.268474
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,232-232:installed,field,attempted,success,,2026-06-18T19:46:40.301185
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,233-233:virtualProcessing,field,attempted,success,,2026-06-18T19:46:40.334582
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,198-204:getTerminalWidth,method,attempted,error,Compilation failed: error: 'getTerminalWidth' is not a member of interface 'OutputStream',2026-06-18T19:47:27.043818
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,235-235:AnsiConsole,method,attempted,error,the 'method' field in JSON output is empty,2026-06-18T19:47:54.621889
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,237-445:ansiStream,method,attempted,error,the model did not output valid JSON: Unterminated string starting at: line 3 column 13 (char 9014),2026-06-18T19:49:23.304862
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,447-455:newPrintStream,method,completed,success,Compilation successful,2026-06-18T19:49:43.315066
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,457-465:getBoolean,method,attempted,error,Compilation failed: error: undeclared type name 'NullPointerException',2026-06-18T19:50:26.474442
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,475-478:out,method,attempted,error,Compilation failed: --- cjc stderr ---,2026-06-18T19:50:36.957853
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,485-487:sysOut,method,completed,success,Compilation successful,2026-06-18T19:50:45.369332
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,497-500:err,method,attempted,error,Compilation failed: --- cjc stderr ---,2026-06-18T19:50:57.955737
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,507-509:sysErr,method,completed,success,Compilation successful,2026-06-18T19:51:06.506581
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,516-529:systemInstall,method,attempted,error,"Compilation failed: error: expected type name after keyword 'as', found '!'",2026-06-18T19:51:52.166120
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,534-536:isInstalled,method,completed,success,Compilation successful,2026-06-18T19:52:01.915075
jansi.src.main.org.fusesource.jansi.AnsiConsole,61-568:AnsiConsole,543-556:systemUninstall,method,attempted,error,Compilation failed: error: undeclared type name 'IOException',2026-06-18T19:52:41.709628
